laureate_id,prize_name,prize_country,prize_founding_year,year,session,author,author_country,author_continent,book_title,publisher,notes,attribution_type,decade
L0590,Akutagawa Prize,Japan,1935,1977,H2,Shūzō Taki,Japan,Asia,Kaya no Ki Matsuri (榧の木祭り),Shinchō,Co-laureate,Co-laureate,1970
L0589,Akutagawa Prize,Japan,1935,1977,H2,Teru Miyamoto,Japan,Asia,"River of Fireflies (螢川, Hotarugawa)",Bungei Tenbō (文芸展望),Co-laureate,Co-laureate,1970
L0592,Akutagawa Prize,Japan,1935,1978,H1,Michitsuna Takahashi,Japan,Asia,Kugatsu no Sora (九月の空),Bungei,Co-laureate,Co-laureate,1970
L0591,Akutagawa Prize,Japan,1935,1978,H1,Kiichirō Takahashi,Japan,Asia,Nobuyo (伸予),Bungei,Co-laureate,Co-laureate,1970
L0593,Akutagawa Prize,Japan,1935,1978,H2,,,,,,No prize awarded,No prize,1970
L0594,Akutagawa Prize,Japan,1935,1979,H1,Yoshiko Shigekane,Japan,Asia,"The Smoke in the Mountain Valley (やまあいの煙, Yamaai no Kemuri)",Bungakukai,Co-laureate,Co-laureate,1970
L0595,Akutagawa Prize,Japan,1935,1979,H1,Sō Aono,Japan,Asia,Gusha no Yoru (愚者の夜),Bungakukai,Co-laureate,Co-laureate,1970
L0596,Akutagawa Prize,Japan,1935,1979,H2,Reiko Mori,Japan,Asia,Mokkingubādo no Iru Machi (モッキングバードのいる町),Shinchō,,Standard,1970
L0597,Akutagawa Prize,Japan,1935,1980,H1,,,,,,No prize awarded,No prize,1980
L0598,Akutagawa Prize,Japan,1935,1980,H2,Katsuhiko Otsuji,Japan,Asia,Chichi ga Kieta (父が消えた),Bungakukai,,Standard,1980
L0599,Akutagawa Prize,Japan,1935,1981,H1,Rie Yoshiyuki,Japan,Asia,"The Little Lady (小さな貴婦人, Chisana Kifujin)",Shinchō,,Standard,1980
L0600,Akutagawa Prize,Japan,1935,1981,H2,,,,,,No prize awarded,No prize,1980
L0601,Akutagawa Prize,Japan,1935,1982,H1,,,,,,No prize awarded,No prize,1980
L0602,Akutagawa Prize,Japan,1935,1982,H2,Yukiko Katō,Japan,Asia,Yume no Kabe (夢の壁),Shinchō,Co-laureate,Co-laureate,1980
L0603,Akutagawa Prize,Japan,1935,1982,H2,Jūrō Kara,Japan,Asia,Sagawa-kun Kara no Tegami (佐川君からの手紙),Bungei,Co-laureate,Co-laureate,1980
L0604,Akutagawa Prize,Japan,1935,1983,H1,,,,,,No prize awarded,No prize,1980
L0605,Akutagawa Prize,Japan,1935,1983,H2,Jun Kasahara,Japan,Asia,Mokuji no Sekai (杢二の世界),Kaien [ja],Co-laureate,Co-laureate,1980
L0606,Akutagawa Prize,Japan,1935,1983,H2,Nobuko Takagi,Japan,Asia,Hikari Idaku Tomo yo (光抱く友よ),Shinchō,Co-laureate,Co-laureate,1980
L0607,Akutagawa Prize,Japan,1935,1984,H1,,,,,,No prize awarded,No prize,1980
L0608,Akutagawa Prize,Japan,1935,1984,H2,Satoko Kizaki,Japan,Asia,"The Phoenix Tree (青桐, Aogiri)",Bungakukai,,Standard,1980
L0609,Akutagawa Prize,Japan,1935,1985,H1,,,,,,No prize awarded,No prize,1980
L0610,Akutagawa Prize,Japan,1935,1985,H2,Fumiko Kometani,Japan,Asia,"Passover (過越しの祭, Sugikoshi no matsuri)",Shinchō,,Standard,1980
L0611,Akutagawa Prize,Japan,1935,1986,H1,,,,,,No prize awarded,No prize,1980
L0612,Akutagawa Prize,Japan,1935,1986,H2,,,,,,No prize awarded,No prize,1980
L0613,Akutagawa Prize,Japan,1935,1987,H1,Kiyoko Murata,Japan,Asia,"In the Pot (鍋の中, Nabe no Naka)",Bungakukai,,Standard,1980
L0615,Akutagawa Prize,Japan,1935,1987,H2,Kiyohiro Miura,Japan,Asia,"He's Leaving Home: My Young Son Becomes a Zen Monk (長男の出家, Chōnan no Shukke)",Kaien [ja],Co-laureate,Co-laureate,1980
