prize,country,year,session,author,author_country,book_title,publisher,notes
Akutagawa,Japan,1979,H1,Sō Aono,Japan,Gusha no Yoru (愚者の夜),Bungakukai,
Akutagawa,Japan,1979,H2,Reiko Mori,Japan,Mokkingubādo no Iru Machi (モッキングバードのいる町),Shinchō,
Akutagawa,Japan,1980,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1980,H2,Katsuhiko Otsuji,Japan,Chichi ga Kieta (父が消えた),Bungakukai,
Akutagawa,Japan,1981,H1,Rie Yoshiyuki,Japan,"The Little Lady (小さな貴婦人, Chisana Kifujin)",Shinchō,
Akutagawa,Japan,1981,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1982,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1982,H2,Yukiko Katō,Japan,Yume no Kabe (夢の壁),Shinchō,
Akutagawa,Japan,1982,H2,Jūrō Kara,Japan,Sagawa-kun Kara no Tegami (佐川君からの手紙),Bungei,
Akutagawa,Japan,1983,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1983,H2,Jun Kasahara,Japan,Mokuji no Sekai (杢二の世界),Kaien [ja],
Akutagawa,Japan,1983,H2,Nobuko Takagi,Japan,Hikari Idaku Tomo yo (光抱く友よ),Shinchō,
Akutagawa,Japan,1984,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1984,H2,Satoko Kizaki,Japan,"The Phoenix Tree (青桐, Aogiri)",Bungakukai,
Akutagawa,Japan,1985,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1985,H2,Fumiko Kometani,Japan,"Passover (過越しの祭, Sugikoshi no matsuri)",Shinchō,
Akutagawa,Japan,1986,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1986,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1987,H1,Kiyoko Murata,Japan,"In the Pot (鍋の中, Nabe no Naka)",Bungakukai,
Akutagawa,Japan,1987,H2,Natsuki Ikezawa,Japan,"Still Life (スティル・ライフ, Sutiru Raifu)",Chūōkōron,
Akutagawa,Japan,1987,H2,Kiyohiro Miura,Japan,"He's Leaving Home: My Young Son Becomes a Zen Monk (長男の出家, Chōnan no Shukke)",Kaien [ja],
Akutagawa,Japan,1988,H1,Man Arai,Japan,Tazunebito no Jikan (尋ね人の時間),Bungakukai,
Akutagawa,Japan,1988,H2,Keishi Nagi,Japan,Daiyamondo Dasuto (ダイヤモンドダスト),Bungakukai,
Akutagawa,Japan,1988,H2,Lee Yangji,Japan,Yuhi (由煕),Gunzō,
Akutagawa,Japan,1989,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1989,H2,Akira Ōoka,Japan,Hyōsō Seikatsu (表層生活),Bungakukai,
Akutagawa,Japan,1989,H2,Mieko Takizawa,Japan,Nekobaba no Iru Machi de (ネコババのいる町で),Bungakukai,
Akutagawa,Japan,1990,H1,Noboru Tsujihara,Japan,Mura no Namae (村の名前),Bungakukai,
Akutagawa,Japan,1990,H2,Yōko Ogawa,Japan,"Pregnancy Diary (妊娠カレンダー, Ninshin Karendā)",Bungakukai,
Akutagawa,Japan,1991,H1,Yō Henmi,Japan,Jidō Kishō Sōchi (自動起床装置),Bungakukai,
