prize,country,year,session,author,author_country,book_title,publisher,notes
Naoki,Japan,1972,H1,Hisashi Inoue,Japan,Tegusari Shinjū (手鎖心中; lit. Shackled Double Suicide) Zan (斬; lit. Beheading),,Co-laureate
Naoki,Japan,1972,H1,Kenjō Tsunabuchi,Japan,Tegusari Shinjū (手鎖心中; lit. Shackled Double Suicide) Zan (斬; lit. Beheading),,Co-laureate
Naoki,Japan,1972,H2,,Japan,,,No prize awarded
Naoki,Japan,1973,H1,Shuhei FujisawaHideo Osabe,Japan,"Ansatsu no Nenrin (暗殺の年輪; lit. Annals of Assassination) Tsugaru Yosare Bushi (津軽世去れ節), Tsugaru Jonkara Bushi (津軽じょんから節)",,
Naoki,Japan,1973,H2,,Japan,,,No prize awarded
Naoki,Japan,1974,H1,Giichi Fujimoto,Japan,Oni no Uta (鬼の詩; lit. Song of Demons),,
Naoki,Japan,1974,H2,Ryō Hanmura,Japan,Ame Yadori (雨やどり; lit. Shelter From the Rain) Atorasu Densetsu (アトラス伝説; lit. The Legend of Atlas),,Co-laureate
Naoki,Japan,1974,H2,Magoroku Ide,Japan,Ame Yadori (雨やどり; lit. Shelter From the Rain) Atorasu Densetsu (アトラス伝説; lit. The Legend of Atlas),,Co-laureate
Naoki,Japan,1975,H1,,Japan,,,No prize awarded
Naoki,Japan,1975,H2,Ryuzo Saki,Japan,Fukushū suru wa Ware ni ari (復讐するは我にあり; lit. Vengeance is Mine),,
Naoki,Japan,1976,H1,,Japan,,,No prize awarded
Naoki,Japan,1976,H2,Kyōzō Miyoshi,Japan,Kosodate Gokko (子育てごっこ; lit. Playing at Raising Children),,
Naoki,Japan,1977,H1,,Japan,,,No prize awarded
Naoki,Japan,1977,H2,,Japan,,,No prize awarded
Naoki,Japan,1978,H1,Yō Tsumoto,Japan,Jinjū no Umi (深重の海; lit. Jinjū's Sea) Rikon (離婚; lit. Divorce),,Co-laureate
Naoki,Japan,1978,H1,Takehiro Irokawa,Japan,Jinjū no Umi (深重の海; lit. Jinjū's Sea) Rikon (離婚; lit. Divorce),,Co-laureate
Naoki,Japan,1978,H2,Tomiko Miyao,Japan,Ichigen no Koto (一絃の琴; lit. One-Stringed Harp) Dai Naniwa Morobito Ourai (大浪花諸人往来; lit. The Comings and Goings of the Many People of Great Naniwa),,Co-laureate
Naoki,Japan,1978,H2,Natsuo Ariake,Japan,Ichigen no Koto (一絃の琴; lit. One-Stringed Harp) Dai Naniwa Morobito Ourai (大浪花諸人往来; lit. The Comings and Goings of the Many People of Great Naniwa),,Co-laureate
Naoki,Japan,1979,H1,Takashi AtōdaKomimasa Tanaka,Japan,"Napoleon Crazy (ナポレオン狂, Naporeon Kyō) Rōkyoku-shi Asahimaru no Hanashi (浪曲師朝日丸の話; lit. The Tales of Master Storyteller Asahimaru), Mimi no Koto (ミミのこと; lit. Matters of the Ear)",,
Naoki,Japan,1979,H2,,Japan,,,No prize awarded
Naoki,Japan,1980,H1,Kuniko Mukōda,Japan,"Hana no Namae (花の名前; lit. Name of the Flower), Kawauso (かわうそ; lit. Otter), Inugoya (犬小屋; lit. Dog House) Kiiroi Kiba (黄色い牙; lit. Yellow Fang)",,Co-laureate
Naoki,Japan,1980,H1,Kageki Shimoda,Japan,"Hana no Namae (花の名前; lit. Name of the Flower), Kawauso (かわうそ; lit. Otter), Inugoya (犬小屋; lit. Dog House) Kiiroi Kiba (黄色い牙; lit. Yellow Fang)",,Co-laureate
Naoki,Japan,1980,H2,Masanori Nakamura,Japan,Genshu no Muhon (元首の謀叛; lit. Sovereign's Rebellion),,
Naoki,Japan,1981,H1,Yukio Aoshima,Japan,Ningen Banji Saiō ga Hinoeuma (人間万事塞翁が丙午; lit. Everything Happens Unpredictably in the Year of the Horse),,
Naoki,Japan,1981,H2,Kôhei Tsuka,Japan,Kamata Kōshinkyoku (蒲田行進曲; lit. Kamata March) Kirai (機雷; lit. Sea Mine),,Co-laureate
Naoki,Japan,1981,H2,Akira Mitsuoka,Japan,Kamata Kōshinkyoku (蒲田行進曲; lit. Kamata March) Kirai (機雷; lit. Sea Mine),,Co-laureate
Naoki,Japan,1982,H1,Yūsuke Fukada,Japan,En'netsu Shōnin (炎熱商人; lit. Unbearable Heat Merchant) Jidai-ya no Nyōbō (時代屋の女房; lit. Wife of the Shop Era),,Co-laureate
Naoki,Japan,1982,H1,Tomomi Muramatsu,Japan,En'netsu Shōnin (炎熱商人; lit. Unbearable Heat Merchant) Jidai-ya no Nyōbō (時代屋の女房; lit. Wife of the Shop Era),,Co-laureate
Naoki,Japan,1982,H2,,Japan,,,No prize awarded
Naoki,Japan,1983,H1,Kōshi Kurumizawa,Japan,Kuropan Furyo-ki (黒パン俘虜記; lit. Chronicle of the Brown Bread Prisoners),,
Naoki,Japan,1983,H2,Takurō Kanki,Japan,Shiseikatsu (私生活; lit. Private Life) Hiden (秘伝; lit. Mystery),,Co-laureate
Naoki,Japan,1983,H2,Osamu Takahashi,Japan,Shiseikatsu (私生活; lit. Private Life) Hiden (秘伝; lit. Mystery),,Co-laureate
Naoki,Japan,1984,H1,Mikihiko Renjō,Japan,Koibumi (恋文; lit. Love Letter) Tennojimura (てんのじ村; lit. Tennoji Village),,Co-laureate
Naoki,Japan,1984,H1,Toshizō Nanba,Japan,Koibumi (恋文; lit. Love Letter) Tennojimura (てんのじ村; lit. Tennoji Village),,Co-laureate
Naoki,Japan,1984,H2,,Japan,,,No prize awarded
